Galaxy	RA_deg  	DEC_deg	SBF	 NED-D	Virgo_kms	VHel_Mpc	D_mag	M_K_mag	A_B	ttype 	log_Re	Rmax	Epsilon_e	Epsilon_e2	Band	VSigma_e	VSigma_e2	LambdaR_e	LambdaR_e2	FS_e	FS_e2	Source	Class	Filter	Rb_asec	mu	alpha	beta	gamma	gamma_prime	RMS	Rgamma_asec	Rgamma_pc	Kinematic_Group	LABEL
NGC5353	208.36142	40.283123	0	0	0	2198	35.2	-25.11	0.05	-2.1	1.3	0.77	0.552	0.541	G	0.689	0.544	0.618	0.532	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC5355	208.43985	40.338795	0	0	0	2344	37.1	-22.4	0.05	-2.1	1.06	1.59	0.296	0.263	G	0.288	0.214	0.286	0.211	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC5358	208.501801	40.27742	0	0	0	2412	38	-22.01	0.04	-0.2	1.05	1.32	0.592	0.395	G	0.675	0.461	0.61	0.442	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC5379	208.893112	59.742825	0	0	0	1774	30	-22.08	0.08	-2	1.32	0.67	0.627	0.696	G	0.92	0.794	0.719	0.677	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC5422	210.175262	55.164478	0	0	0	1838	30.8	-23.69	0.06	-1.5	1.33	0.68	0.604	0.537	G	0.588	0.475	0.6	0.501	F	F	WPC2/PC1 (Krajnovic et al. 2013b)	intermediate	F814W	47.48	24	0.4	5.52	0.02	0.45	0.04	0.13	20.04	regular-rotators	core
NGC5473	211.180176	54.89262	0	0	0	2022	33.2	-24.25	0.05	-2.7	1.32	0.71	0.211	0.211	G	0.437	0.326	0.447	0.324	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC5475	211.301437	55.741802	0	0	0	1671	28.6	-22.88	0.05	1	1.22	0.86	0.697	0.568	G	0.965	0.711	0.759	0.638	F	F	ACS (Krajnovic et al. 2013b)	intermediate	F475W	1.5	19.86	2.29	10	0.38	0.4	0.07	0.22	30.83	regular-rotators	core
NGC5481	211.671722	50.72332	0	2	0	1989	25.8	-22.68	0.08	-3.9	1.35	0.79	0.214	0.161	G	0.159	0.165	0.103	0.091	S	S	no imaging	not measured	no imaging						unknown					unknown
NGC5485	211.797134	55.001518	1	3	0	1927	25.2	-23.61	0.07	-2	1.45	0.61	0.171	0.208	G	0.176	0.16	0.165	0.149	F	F	ACS (Krajnovic et al. 2013b)	core (flat)	F814W	0.73	16.22	4.21	1.01	0.19	0.19	0.03	0.65	79.24	featureless non-regular rotators	core-less
NGC5493	212.872421	-5.043663	0	0	0	2665	38.8	-24.49	0.15	-2.1	1.14	1.08	0.561	0.64	G	1.095	1.089	0.74	0.773	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC5500	212.563522	48.546066	0	0	0	1914	31.7	-21.93	0.09	-4.9	1.18	1.1	0.234	0.214	G	0.178	0.155	0.172	0.146	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC5507	213.332825	-3.14886	0	0	0	1851	28.5	-23.19	0.26	-2.3	1.09	1.36	0.252	0.144	G	0.479	0.302	0.495	0.306	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC5557	214.607117	36.49369	0	3	0	3219	38.8	-24.87	0.03	-4.8	1.46	0.6	0.169	0.157	G	0.048	0.044	0.049	0.045	S	S	Lauer et al. (2007)	core (flat)	WFPC2: see Source	0.8	16.4	0.8	1.68	0.02	0.07		0.26	48.89	featureless non-regular rotators	core-less
NGC5574	215.233109	3.237995	1	1	0	1589	23.2	-22.3	0.13	-2.8	1.13	1.04	0.627	0.566	G	0.443	0.371	0.452	0.382	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC5576	215.265381	3.271049	1	3	0	1506	24.8	-24.15	0.13	-4.8	1.34	0.76	0.306	0.31	G	0.097	0.088	0.102	0.091	S	S	WPC2/PC1 (Krajnovic et al. 2013b)	intermediate	F555W	6	18.38	0.41	3.01	0	0.47	0.01	0.12	14.1	featureless non-regular rotators	core
NGC5582	215.179703	39.693584	1	3	0	1430	27.7	-23.28	0.06	-4.9	1.44	0.63	0.32	0.321	G	0.676	0.668	0.564	0.567	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC5611	216.019897	33.047501	1	1	0	1968	24.5	-22.2	0.05	-1.9	1	1.57	0.559	0.485	G	0.816	0.661	0.691	0.59	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC5631	216.638687	56.582664	1	1	0	1944	27	-23.7	0.09	-1.9	1.32	0.81	0.127	0.167	G	0.171	0.193	0.11	0.166	S	F	no imaging	not measured	no imaging						unknown					unknown
NGC5638	217.418289	3.233443	1	3	0	1652	25.6	-23.8	0.14	-4.8	1.45	0.61	0.091	0.079	G	0.253	0.222	0.265	0.229	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC5687	218.718201	54.475685	1	1	0	2143	27.2	-23.22	0.05	-3	1.36	0.76	0.379	0.349	G	0.486	0.44	0.479	0.435	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC5770	223.312653	3.959721	1	1	0	1471	18.5	-22.15	0.17	-2	1.23	0.99	0.061	0.061	G	0.242	0.171	0.273	0.174	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC5813	225.296936	1.70197	1	4	0	1956	31.3	-25.09	0.25	-4.8	1.76	0.38	0.17	0.17	G	0.161	0.161	0.071	0.071	S	S	Lauer et al. (2007)	core (flat)	WFPC2: see Source	1.15	16.82	1.6	1.6	0.05	0.06		0.66	99.82	KDCs (and counter-rotating cores)	core-less
NGC5831	226.029266	1.219917	1	3	0	1645	26.4	-23.69	0.25	-4.8	1.4	0.81	0.136	0.203	G	0.088	0.093	0.063	0.065	S	S	WPC2/PC1 (Krajnovic et al. 2013b)	power-law	F702W	36.56	24	0.96	7.41	0.77	0.79	0.02	-0.1	-12.8	KDCs (and counter-rotating cores)	core
NGC5838	226.359467	2.099356	0	0	0	1341	21.8	-24.13	0.23	-2.6	1.4	0.67	0.361	0.297	G	0.521	0.464	0.521	0.46	F	F	Ravindranath et al. (2001)	power-law	NICMOS: see Source	4.35	17.69	2.6	1.87	0.93	0.93		-0.1	-10.57	regular-rotators	core
NGC5839	226.364471	1.634633	1	1	0	1220	22	-22.53	0.23	-2	1.22	1.03	0.1	0.169	G	0.385	0.269	0.43	0.298	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC5845	226.503281	1.633824	1	2	0	1472	25.2	-22.92	0.23	-4.9	0.8	2.57	0.264	0.236	G	0.402	0.368	0.404	0.358	F	F	Quillen et al. (2000)	power-law	NICMOS: see Source	1.38	15.86	2.1	2.18	0.51	0.52		-0.1	-12.22	regular-rotators	core
NGC5846	226.621887	1.605637	1	6	0	1712	24.2	-25.01	0.24	-4.7	1.77	0.38	0.062	0.062	R	0.037	0.037	0.032	0.032	S	S	WPC2/PC1 (Krajnovic et al. 2013b)	core (flat)	F555W	2	18.57	2.01	1.72	-0.03	-0.02	0.04	1.32	154.98	non-rotating galaxies	core-less
NGC5854	226.948853	2.56856	0	0	0	1663	26.2	-23.3	0.23	-1.1	1.26	0.79	0.575	0.426	G	0.761	0.531	0.678	0.515	F	F	WPC2/PC1 (Krajnovic et al. 2013b)	power-law	F814W	0.3	14	0.27	3.86	-1.1	1.01	0.07	0.02	2.44	regular-rotators	core
NGC5864	227.389786	3.052741	0	0	0	1874	29	-23.62	0.19	-1.7	1.35	0.59	0.695	0.658	G	0.63	0.556	0.603	0.55	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC5866	226.623169	55.763309	1	3	0	755	14.9	-24	0.06	-1.3	1.56	0.44	0.566	0.566	G	0.349	0.349	0.319	0.319	F	F	imaging shows internal structure	not measured	no imaging						uncertain					uncertain
NGC5869	227.456055	0.469967	0	1	0	2065	24.9	-23.27	0.24	-2.3	1.31	0.85	0.245	0.244	G	0.433	0.387	0.428	0.383	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC6010	238.579773	0.543033	0	0	0	2022	30.6	-23.53	0.45	0.4	1.16	0.84	0.742	0.539	G	0.703	0.555	0.679	0.556	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC6014	238.989105	5.931838	0	0	0	2381	35.8	-22.99	0.22	-1.9	1.35	0.58	0.419	0.434	G	0.418	0.378	0.387	0.353	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC6017	239.314529	5.998364	1	1	0	1788	29	-22.52	0.23	-5	0.85	2.53	0.455	0.405	G	0.441	0.352	0.429	0.34	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC6149	246.851151	19.59729	0	0	0	2427	37.2	-22.6	0.3	-1.9	1.03	1.65	0.325	0.279	G	0.656	0.579	0.563	0.513	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC6278	255.209763	23.010956	0	0	0	2832	42.9	-24.19	0.27	-1.9	1.22	1.02	0.409	0.401	G	0.521	0.368	0.576	0.411	F	F	Rest et al. (2001)	power-law	WFPC2: see Source	0.6	16.3	0.8	1.62	0.55	0.67		-0.1	-20.8	regular-rotators	core
NGC6547	271.291748	25.232645	0	0	0	2677	40.8	-23.6	0.5	-1.3	1.06	1.22	0.674	0.456	G	0.616	0.41	0.632	0.444	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC6548	271.496826	18.587217	1	1	0	2208	22.4	-23.19	0.35	-1.9	1.35	0.66	0.107	0.107	G	0.315	0.254	0.326	0.261	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC6703	281.828522	45.550648	1	4	0	2373	25.9	-23.85	0.37	-2.8	1.34	0.68	0.019	0.017	G	0.043	0.038	0.041	0.035	S	F	WPC2/PC1 (Krajnovic et al. 2013b)	power-law	F555W	0.07	14.86	5	1.12	0.2	0.95	0.01	0.06	7.6	non-rotating galaxies	core
NGC6798	291.013306	53.624752	0	0	0	2360	37.5	-23.52	0.57	-2	1.23	0.95	0.461	0.372	G	0.488	0.322	0.483	0.31	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC7280	336.614899	16.148266	1	2	0	1845	23.7	-22.83	0.24	-1.3	1.33	0.82	0.363	0.377	G	0.606	0.538	0.557	0.503	F	F	WPC2/PC1 (Krajnovic et al. 2013b)	power-law	F606W	0.1	14	3.47	1.26	0.53	0.87	0.04	-0.1	-11.49	regular-rotators	core
NGC7332	339.352173	23.798351	1	1	0	1197	22.4	-23.75	0.16	-1.9	1.24	0.85	0.674	0.469	G	0.49	0.291	0.561	0.338	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC7454	345.27713	16.388371	1	3	0	2020	23.2	-23	0.33	-4.7	1.41	0.65	0.364	0.363	R	0.106	0.091	0.094	0.067	S	S	no imaging	not measured	no imaging						unknown					unknown
NGC7457	345.249725	30.144892	1	3	0	844	12.9	-22.38	0.23	-2.6	1.56	0.62	0.47	0.438	G	0.546	0.478	0.519	0.465	F	F	Lauer et al. (2007)	power-law	WFPC2: see Source	0.22	16.33	1	1.05	-0.1	0.61		0.04	2.5	regular-rotators	core
NGC7465	345.503967	15.964876	0	0	0	1960	29.3	-22.82	0.33	-1.9	0.9	2.17	0.364	0.406	G	0.343	0.352	0.283	0.294	F	F	no imaging	not measured	imaging shows internal structure						uncertain					uncertain
NGC7693	353.293671	-1.29201	0	0	0	2502	35.4	-21.58	0.15	-1	1.11	1.34	0.233	0.275	G	0.686	0.44	0.616	0.408	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC7710	353.942261	-2.880941	0	0	0	2407	34	-21.99	0.15	-1.9	0.92	1.84	0.581	0.548	S	0.293	0.136	0.34	0.137	F	S	no imaging	not measured	no imaging						unknown					unknown
PGC016060	72.143387	-3.867104	0	0	0	2764	37.8	-22.64	0.19	-0.6	1.01	1.32	0.694	0.681	G	1.019	0.682	0.759	0.616	F	F	no imaging	not measured	no imaging						unknown					unknown
PGC028887	149.93129	11.660812	0	0	0	2833	41	-22.26	0.17	0	1.08	1.49	0.323	0.312	G	0.282	0.332	0.145	0.252	S	F	no imaging	not measured	no imaging						unknown					unknown
PGC029321	151.463226	12.961213	0	0	0	2816	40.9	-21.66	0.16	0	0.89	2.32	0.14	0.146	G	0.339	0.187	0.336	0.175	F	F	no imaging	not measured	no imaging						unknown					unknown
PGC035754	173.614716	33.178913	0	0	0	2534	39	-21.9	0.11	-3	0.83	2.6	0.275	0.333	G	0.258	0.275	0.21	0.266	F	F	no imaging	not measured	no imaging						unknown					unknown
PGC042549	190.316513	-5.009177	0	0	0	2822	40.7	-22.71	0.11	-5	1.06	1.57	0.369	0.45	G	0.771	0.56	0.673	0.529	F	F	no imaging	not measured	no imaging						unknown					unknown
PGC044433	194.57811	13.391409	0	0	0	2675	40.1	-22.25	0.13	0	0.71	3	0.335	0.184	S	0.362	0.205	0.357	0.2	F	F	no imaging	not measured	no imaging						unknown					unknown
PGC050395	211.913544	54.794575	0	0	0	2322	37.2	-21.92	0.05	0	1.04	1.58	0.233	0.24	G	0.149	0.111	0.138	0.089	S	S	no imaging	not measured	no imaging						unknown					unknown
PGC051753	217.310318	44.699104	0	0	0	2418	38.3	-21.92	0.05	0	1.01	1.54	0.549	0.538	G	0.668	0.538	0.587	0.513	F	F	no imaging	not measured	no imaging						unknown					unknown
PGC054452	228.89418	2.248187	0	0	0	1918	29.5	-21.59	0.18	-2	1.14	1.17	0.189	0.175	G	0.435	0.316	0.416	0.307	F	F	no imaging	not measured	no imaging						unknown					unknown
PGC056772	240.54834	7.085953	0	0	0	2655	39.5	-22.06	0.19	-2	0.93	1.87	0.493	0.467	G	0.386	0.443	0.31	0.42	F	F	no imaging	not measured	no imaging						unknown					unknown
PGC058114	246.517838	2.90655	0	0	0	1507	23.8	-21.57	0.29	-2	0.97	1.95	0.185	0.213	R	0.228	0.159	0.176	0.132	F	F	no imaging	not measured	no imaging						unknown					unknown
PGC061468	272.360748	19.117682	0	0	0	2371	36.2	-21.68	0.35	0	1.06	1.58	0.231	0.23	G	0.464	0.391	0.409	0.36	F	F	no imaging	not measured	no imaging						unknown					unknown
PGC071531	352.121338	19.863962	0	0	0	2030	30.4	-21.74	0.53	-4	0.88	2.35	0.305	0.235	R	0.323	0.263	0.333	0.266	F	F	no imaging	not measured	no imaging						unknown					unknown
PGC170172	176.73172	-5.187745	0	0	0	2562	37.1	-21.89	0.08	-5	0.89	2.08	0.195	0.372	G	0.287	0.192	0.324	0.218	F	F	no imaging	not measured	no imaging						unknown					unknown
UGC03960	115.094856	23.275089	0	0	0	2255	33.2	-21.89	0.2	-4.9	1.24	0.93	0.19	0.081	G	0.13	0.109	0.119	0.094	S	F	no imaging	not measured	no imaging						unknown					unknown
UGC04551	131.024582	49.793968	0	0	0	1728	28	-22.92	0.1	-2	1.03	1.59	0.137	0.137	G	0.252	0.205	0.277	0.214	F	F	Rest et al. (2001)	intermediate	WFPC2: see Source	2.26	17.67	2.2	2.16	0.49	0.49		0.22	30.04	regular-rotators	core
UGC05408	150.966095	59.436138	0	0	0	2998	45.8	-22.03	0.06	-3.3	0.84	2.68	0.168	0.248	G	0.29	0.27	0.278	0.292	F	F	no imaging	not measured	imaging shows internal structure						uncertain					uncertain
UGC06062	164.656662	9.050468	0	0	0	2634	38.7	-22.82	0.13	-2	1.05	1.55	0.449	0.449	G	0.472	0.325	0.475	0.332	F	F	Rest et al. (2001)	power-law	WFPC2: see Source	2.75	18.96	0.9	1.81	0.8	0.82		-0.1	-18.76	regular-rotators	core
UGC06176	166.852753	21.657185	0	0	0	2677	40.1	-22.66	0.08	-2	1.03	1.58	0.252	0.33	G	0.67	0.447	0.585	0.426	F	F	no imaging	not measured	no imaging						unknown					unknown
UGC08876	209.241943	45.973179	0	0	0	2085	33.9	-22.37	0.04	-0.1	0.93	1.93	0.408	0.18	S	0.311	0.182	0.341	0.189	F	F	no imaging	not measured	no imaging						unknown					unknown
UGC09519	221.588028	34.370651	0	0	0	1631	27.6	-21.98	0.09	-1.9	0.87	2.48	0.484	0.407	G	0.764	0.631	0.632	0.552	F	F	no imaging	not measured	no imaging						unknown					unknown
